DEBUG:root:network : controlled_CVAE
cuda_device : 2
seed : 0
spv_proportion : 100
truncated : False
act_size : 8
personality_size : 0
domain : e2e
dialog_path : data/dialogue/e2e-dataset/train.json
test_dialog_path : data/dialogue/e2e-dataset/test.json
dev_dialog_path : data/dialogue/e2e-dataset/test.json
condition_size : 79
slot_path : data/dialogue/e2e-dataset/slot_value.json
slot_max_ts : 21
text_max_ts : 82
split : None
python_path : /home/huxu/anaconda3/envs/p3-torch13/bin/python
VAE : False
various_go : False
commitment_cost : 1.0
grad_clip_norm : 1.0
max_turn : 200
emb_size : 300
emb_trainable : True
hidden_size : 300
lr : 0.001
lr_decay : 1.0
batch_size : 128
dropout_rate : 0.0
epoch_num : 1
cuda : True
early_stop_count : 30
vocab_size : None
remove_slot_value : False
encoder_layer_num : 1
beam_search : False
beam_size : 10
beam_len_bonus : 0.5
teacher_force : 50
glove_path : ./data/glove.840B.300d.txt
model_path : ./models/controlled_CVAE_e2e_EL1.pkl
result_path : ./results/controlled_CVAE_e2e_EL1TMT82.csv
vocab_emb : ./vocabs/embedding_e2e.npy
vocab_path : ./vocabs/e2e.p

DEBUG:root:Device: 2
INFO:root:total trainable params: 6280122
INFO:root:Controlled_CVAE(
  (encoder): SimpleDynamicEncoder(
    (embedding): Embedding(3024, 300)
    (gru): GRU(300, 300, bidirectional=True)
  )
  (vocab_vq_vae): Vocab_VectorQuantizer(
    (embedding): Embedding(3024, 300)
  )
  (vae): VAE(
    (fc1): Linear(in_features=379, out_features=379, bias=True)
    (fc21): Linear(in_features=379, out_features=300, bias=True)
    (fc22): Linear(in_features=379, out_features=300, bias=True)
    (fc3): Linear(in_features=300, out_features=379, bias=True)
    (fc4): Linear(in_features=379, out_features=379, bias=True)
  )
  (decoder): Condition_RNN_Decoder(
    (emb): Embedding(3024, 300)
    (rnn): GRU(379, 300)
    (emb_proj): Linear(in_features=300, out_features=300, bias=True)
    (proj): Linear(in_features=300, out_features=3024, bias=True)
  )
  (act_predictor): MultiLabel_Classification(
    (linear1): Linear(in_features=300, out_features=150, bias=True)
    (linear2): Linear(in_features=150, out_features=79, bias=True)
  )
  (act_mlp): MLP(
    (linear1): Linear(in_features=600, out_features=1200, bias=True)
    (linear2): Linear(in_features=1200, out_features=300, bias=True)
  )
  (dec_loss): NLLLoss()
)
INFO:root:embedding.  mean: 0.000241  std 0.511211
DEBUG:root:bucket 1 instance 42061
DEBUG:root:loss:8.869344711303711 reconloss:7.997044563293457 KLD:0.002000595908612013 actloss:0.6951767802238464 vocabvqloss0.17512211203575134 grad:0.35358734613375176
DEBUG:root:loss:3.1790289878845215 reconloss:2.7209818363189697 KLD:0.002087885281071067 actloss:0.2094777524471283 vocabvqloss0.24648156762123108 grad:0.5144180603937997
DEBUG:root:loss:3.0591037273406982 reconloss:2.645681142807007 KLD:0.00215247948653996 actloss:0.20653539896011353 vocabvqloss0.20473481714725494 grad:0.47284790070189775
DEBUG:root:loss:3.29756760597229 reconloss:2.9027633666992188 KLD:0.0024415357038378716 actloss:0.211279958486557 vocabvqloss0.18108275532722473 grad:0.4391614074132628
DEBUG:root:loss:2.8785698413848877 reconloss:2.4203884601593018 KLD:0.0029308514203876257 actloss:0.20892547070980072 vocabvqloss0.2463250756263733 grad:0.5732111599024574
DEBUG:root:loss:3.033778190612793 reconloss:2.6006133556365967 KLD:0.0028662527911365032 actloss:0.2099686712026596 vocabvqloss0.22032994031906128 grad:0.5126768033457414
DEBUG:root:loss:2.920642375946045 reconloss:2.481058120727539 KLD:0.0029616449028253555 actloss:0.20932263135910034 vocabvqloss0.2272999882698059 grad:0.4478087661031012
DEBUG:root:loss:3.069944381713867 reconloss:2.6339356899261475 KLD:0.0028355156537145376 actloss:0.20639100670814514 vocabvqloss0.22678200900554657 grad:0.5006751008813096
DEBUG:root:loss:2.8461642265319824 reconloss:2.404395341873169 KLD:0.002713274909183383 actloss:0.20701807737350464 vocabvqloss0.23203757405281067 grad:0.38146466065494544
DEBUG:root:loss:3.128066062927246 reconloss:2.6959993839263916 KLD:0.0026804343797266483 actloss:0.20878273248672485 vocabvqloss0.22060351073741913 grad:0.526791193114967
DEBUG:root:loss:3.180253028869629 reconloss:2.728801727294922 KLD:0.0026022125966846943 actloss:0.20628009736537933 vocabvqloss0.2425692081451416 grad:0.44080962018796455
DEBUG:root:loss:3.1646039485931396 reconloss:2.6599600315093994 KLD:0.0025374358519911766 actloss:0.20986784994602203 vocabvqloss0.29223838448524475 grad:0.5995071581669477
DEBUG:root:loss:3.070085048675537 reconloss:2.579407215118408 KLD:0.0021747518330812454 actloss:0.20562241971492767 vocabvqloss0.28288063406944275 grad:0.47272045601951335
DEBUG:root:loss:3.4893479347229004 reconloss:3.0093626976013184 KLD:0.002160937525331974 actloss:0.20706428587436676 vocabvqloss0.2707597613334656 grad:0.509016537444046
DEBUG:root:loss:2.953712224960327 reconloss:2.497241497039795 KLD:0.0021833095233887434 actloss:0.20843932032585144 vocabvqloss0.24584828317165375 grad:0.45838997392916825
DEBUG:root:loss:3.607468366622925 reconloss:3.1550378799438477 KLD:0.0022071225102990866 actloss:0.20779849588871002 vocabvqloss0.2424248605966568 grad:0.5402242683779105
DEBUG:root:loss:2.769788980484009 reconloss:2.3277692794799805 KLD:0.0030681516509503126 actloss:0.20660801231861115 vocabvqloss0.23234336078166962 grad:0.5134915784586348
DEBUG:root:loss:2.9466068744659424 reconloss:2.5377771854400635 KLD:0.003969551995396614 actloss:0.20315320789813995 vocabvqloss0.2017068713903427 grad:0.6549166432989005
DEBUG:root:loss:2.8644165992736816 reconloss:2.388028144836426 KLD:0.004130176734179258 actloss:0.2106863558292389 vocabvqloss0.2615719437599182 grad:0.42763730698262126
DEBUG:root:loss:2.979982852935791 reconloss:2.5342788696289062 KLD:0.003807954490184784 actloss:0.20189616084098816 vocabvqloss0.23999977111816406 grad:0.4477870632866894
DEBUG:root:loss:3.459003210067749 reconloss:2.9766573905944824 KLD:0.004056327044963837 actloss:0.20482005178928375 vocabvqloss0.2734695374965668 grad:0.6661140266648589
DEBUG:root:loss:3.4155890941619873 reconloss:2.9937174320220947 KLD:0.0035702793393284082 actloss:0.2015383392572403 vocabvqloss0.2167629450559616 grad:0.569455507847375
DEBUG:root:loss:2.8656136989593506 reconloss:2.4151337146759033 KLD:0.0029224208556115627 actloss:0.207095205783844 vocabvqloss0.24046234786510468 grad:0.37735483682113796
DEBUG:root:loss:3.5618622303009033 reconloss:3.175036668777466 KLD:0.002659724559634924 actloss:0.20328423380851746 vocabvqloss0.1808815747499466 grad:0.5760376387706435
DEBUG:root:loss:3.103109359741211 reconloss:2.7080459594726562 KLD:0.0017887797439470887 actloss:0.19856269657611847 vocabvqloss0.19471202790737152 grad:0.45378543257898873
DEBUG:root:loss:2.7409048080444336 reconloss:2.3157804012298584 KLD:0.0013793250545859337 actloss:0.20590104162693024 vocabvqloss0.21784397959709167 grad:0.4580147424426837
DEBUG:root:loss:2.9037177562713623 reconloss:2.429109573364258 KLD:0.0013095105532556772 actloss:0.20484724640846252 vocabvqloss0.2684515118598938 grad:0.45710212757109453
DEBUG:root:loss:2.698559045791626 reconloss:2.2621214389801025 KLD:0.0014660360757261515 actloss:0.20338983833789825 vocabvqloss0.2315816581249237 grad:0.4812910831844754
DEBUG:root:loss:2.734833240509033 reconloss:2.3047268390655518 KLD:0.0016217624070122838 actloss:0.1996822953224182 vocabvqloss0.22880235314369202 grad:0.4383947230172097
DEBUG:root:loss:3.3598897457122803 reconloss:2.9057443141937256 KLD:0.0020295733120292425 actloss:0.2030288577079773 vocabvqloss0.24908678233623505 grad:0.5598820546162916
DEBUG:root:loss:3.2322535514831543 reconloss:2.7950258255004883 KLD:0.002620530081912875 actloss:0.20370440185070038 vocabvqloss0.23090283572673798 grad:0.5921952854348114
DEBUG:root:loss:2.9868807792663574 reconloss:2.5399396419525146 KLD:0.0032733839470893145 actloss:0.20390167832374573 vocabvqloss0.23976585268974304 grad:0.4769334549601115
DEBUG:root:loss:2.811846971511841 reconloss:2.3493058681488037 KLD:0.003635139437392354 actloss:0.2015346735715866 vocabvqloss0.2573712468147278 grad:0.4867050355230013
DEBUG:root:loss:3.354196548461914 reconloss:2.921581506729126 KLD:0.0037666934076696634 actloss:0.20447617769241333 vocabvqloss0.22437207400798798 grad:0.4891433458959253
DEBUG:root:loss:3.2465391159057617 reconloss:2.79721999168396 KLD:0.0034525275696069 actloss:0.2058243602514267 vocabvqloss0.2400422841310501 grad:0.5316608775922553
DEBUG:root:loss:2.890429973602295 reconloss:2.4686686992645264 KLD:0.0032371196430176497 actloss:0.20216353237628937 vocabvqloss0.21636080741882324 grad:0.6057740891239481
DEBUG:root:loss:2.7466330528259277 reconloss:2.2883548736572266 KLD:0.0026012456510215998 actloss:0.20470240712165833 vocabvqloss0.25097471475601196 grad:0.5154966447548617
DEBUG:root:loss:3.0620944499969482 reconloss:2.630296468734741 KLD:0.0025289615150541067 actloss:0.20472529530525208 vocabvqloss0.22454389929771423 grad:0.5131914503676492
DEBUG:root:loss:3.2177340984344482 reconloss:2.7750182151794434 KLD:0.0027770018205046654 actloss:0.2047356814146042 vocabvqloss0.2352031022310257 grad:0.478081325923763
DEBUG:root:loss:3.066117525100708 reconloss:2.615915298461914 KLD:0.0028100053314119577 actloss:0.19885307550430298 vocabvqloss0.2485392987728119 grad:0.4147564753414973
DEBUG:root:loss:3.0760459899902344 reconloss:2.61138653755188 KLD:0.0028529323171824217 actloss:0.2017250508069992 vocabvqloss0.26008158922195435 grad:0.4967100684231149
DEBUG:root:loss:2.897000551223755 reconloss:2.438710927963257 KLD:0.003147672861814499 actloss:0.1987241804599762 vocabvqloss0.25641781091690063 grad:0.5291464365968611
DEBUG:root:loss:2.7659151554107666 reconloss:2.306230306625366 KLD:0.002490378450602293 actloss:0.2002086490392685 vocabvqloss0.2569858729839325 grad:0.4375564632582018
DEBUG:root:loss:2.72194242477417 reconloss:2.3111746311187744 KLD:0.0025460224132984877 actloss:0.2008119374513626 vocabvqloss0.20740991830825806 grad:0.40419143419892734
DEBUG:root:loss:2.7658467292785645 reconloss:2.3342580795288086 KLD:0.002299151150509715 actloss:0.20251785218715668 vocabvqloss0.22677192091941833 grad:0.42024754733339376
DEBUG:root:loss:2.9645252227783203 reconloss:2.5165185928344727 KLD:0.0021289668511599302 actloss:0.20753459632396698 vocabvqloss0.23834307491779327 grad:0.4446900140020944
DEBUG:root:loss:2.915674924850464 reconloss:2.4419314861297607 KLD:0.002742734970524907 actloss:0.20126479864120483 vocabvqloss0.2697358727455139 grad:0.4904997627473833
DEBUG:root:loss:2.9094717502593994 reconloss:2.4628171920776367 KLD:0.003078782930970192 actloss:0.2015453279018402 vocabvqloss0.24203060567378998 grad:0.4492827721368359
DEBUG:root:loss:3.048466682434082 reconloss:2.60347318649292 KLD:0.003439679741859436 actloss:0.20291797816753387 vocabvqloss0.2386358082294464 grad:0.4362649005508657
DEBUG:root:loss:2.95576548576355 reconloss:2.514965295791626 KLD:0.003406916046515107 actloss:0.19957205653190613 vocabvqloss0.23782116174697876 grad:0.46425398245859595
DEBUG:root:loss:2.961300849914551 reconloss:2.5086488723754883 KLD:0.003965843468904495 actloss:0.20215250551700592 vocabvqloss0.2465335726737976 grad:0.4008884089793177
DEBUG:root:loss:2.9878177642822266 reconloss:2.53068470954895 KLD:0.004506063647568226 actloss:0.202688530087471 vocabvqloss0.24993856251239777 grad:0.430954119482476
DEBUG:root:loss:2.8154287338256836 reconloss:2.363492488861084 KLD:0.004632517695426941 actloss:0.19941098988056183 vocabvqloss0.2478928118944168 grad:0.3907284079916071
DEBUG:root:loss:3.044325590133667 reconloss:2.563760995864868 KLD:0.004925946239382029 actloss:0.19775663316249847 vocabvqloss0.27788209915161133 grad:0.41689042521096376
DEBUG:root:loss:2.7786078453063965 reconloss:2.316859722137451 KLD:0.004795998800545931 actloss:0.20313122868537903 vocabvqloss0.25382089614868164 grad:0.42450133823061104
INFO:root:Traning time: 105.73642873764038
INFO:root:avg training loss in epoch 0 sup:3.797364
DEBUG:root:bucket 1 instance 4693
DEBUG:root:loss:3.18992018699646 reconloss:2.6308529376983643 KLD:0.005174937192350626 actloss:0.2799626290798187vocabvqloss0.27392980456352234
DEBUG:root:loss:3.194035053253174 reconloss:2.642521381378174 KLD:0.005906795617192984 actloss:0.2843819558620453vocabvqloss0.2612250745296478
DEBUG:root:loss:3.1295106410980225 reconloss:2.557568073272705 KLD:0.005860504228621721 actloss:0.28338608145713806vocabvqloss0.2826961278915405
DEBUG:root:loss:3.286043882369995 reconloss:2.7480459213256836 KLD:0.005047480575740337 actloss:0.2822438180446625vocabvqloss0.25070667266845703
DEBUG:root:loss:3.440096855163574 reconloss:2.8702187538146973 KLD:0.005718506406992674 actloss:0.2876337468624115vocabvqloss0.27652597427368164
DEBUG:root:loss:3.785632610321045 reconloss:3.2579331398010254 KLD:0.005511551164090633 actloss:0.27902448177337646vocabvqloss0.24316367506980896
DEBUG:root:loss:3.294693946838379 reconloss:2.7137510776519775 KLD:0.005315096117556095 actloss:0.28871241211891174vocabvqloss0.2869153320789337
DEBUG:root:loss:3.2132644653320312 reconloss:2.7115633487701416 KLD:0.006110708229243755 actloss:0.2859753966331482vocabvqloss0.20961490273475647
DEBUG:root:loss:3.4161787033081055 reconloss:2.850349187850952 KLD:0.005254305899143219 actloss:0.2881927192211151vocabvqloss0.27238237857818604
DEBUG:root:loss:3.424973964691162 reconloss:2.931558847427368 KLD:0.005342921707779169 actloss:0.27778491377830505vocabvqloss0.21028737723827362
DEBUG:root:loss:3.2848639488220215 reconloss:2.7232348918914795 KLD:0.006122858729213476 actloss:0.2846645414829254vocabvqloss0.27084165811538696
DEBUG:root:loss:3.3542897701263428 reconloss:2.848808526992798 KLD:0.005480650812387466 actloss:0.2783413827419281vocabvqloss0.22165925800800323
DEBUG:root:loss:3.563748836517334 reconloss:3.0040054321289062 KLD:0.00580349238589406 actloss:0.27707579731941223vocabvqloss0.27686411142349243
DEBUG:root:loss:4.189957618713379 reconloss:3.6348628997802734 KLD:0.005841342732310295 actloss:0.2798337936401367vocabvqloss0.26941949129104614
DEBUG:root:loss:3.162013530731201 reconloss:2.619229793548584 KLD:0.005268527194857597 actloss:0.28119784593582153vocabvqloss0.2563173174858093
DEBUG:root:loss:3.579963445663452 reconloss:3.028369903564453 KLD:0.006336068268865347 actloss:0.27895206212997437vocabvqloss0.26630541682243347
DEBUG:root:loss:3.305342435836792 reconloss:2.747234344482422 KLD:0.0062271165661513805 actloss:0.28342142701148987vocabvqloss0.2684595286846161
DEBUG:root:loss:3.1738979816436768 reconloss:2.7386162281036377 KLD:0.00555212190374732 actloss:0.27857622504234314vocabvqloss0.15115365386009216
DEBUG:root:loss:3.698420763015747 reconloss:3.217705726623535 KLD:0.005672657862305641 actloss:0.28353503346443176vocabvqloss0.19150742888450623
DEBUG:root:loss:3.5030136108398438 reconloss:3.003096580505371 KLD:0.005571909248828888 actloss:0.2757216989994049vocabvqloss0.21862342953681946
DEBUG:root:loss:3.476555109024048 reconloss:2.900277614593506 KLD:0.005746258422732353 actloss:0.2851192355155945vocabvqloss0.2854118347167969
DEBUG:root:loss:3.5274157524108887 reconloss:2.9705002307891846 KLD:0.005102020222693682 actloss:0.2842440605163574vocabvqloss0.2675694227218628
DEBUG:root:loss:3.644080638885498 reconloss:3.088127374649048 KLD:0.005505288951098919 actloss:0.28047335147857666vocabvqloss0.2699746787548065
DEBUG:root:loss:3.0886640548706055 reconloss:2.587559223175049 KLD:0.005556372459977865 actloss:0.2770482897758484vocabvqloss0.21850013732910156
DEBUG:root:loss:3.1356024742126465 reconloss:2.6075899600982666 KLD:0.005913453176617622 actloss:0.28369495272636414vocabvqloss0.2384040206670761
DEBUG:root:loss:3.0239756107330322 reconloss:2.4770452976226807 KLD:0.005237889476120472 actloss:0.2773783206939697vocabvqloss0.2643142342567444
DEBUG:root:loss:3.2208383083343506 reconloss:2.700695753097534 KLD:0.005338449962437153 actloss:0.28548839688301086vocabvqloss0.22931566834449768
DEBUG:root:loss:3.4999117851257324 reconloss:2.9435622692108154 KLD:0.006125262938439846 actloss:0.28443443775177vocabvqloss0.2657899856567383
DEBUG:root:loss:3.396946907043457 reconloss:2.8293509483337402 KLD:0.005276212468743324 actloss:0.28245171904563904vocabvqloss0.2798680365085602
DEBUG:root:loss:3.681262731552124 reconloss:3.139613389968872 KLD:0.005824068561196327 actloss:0.2811238169670105vocabvqloss0.25470149517059326
DEBUG:root:loss:3.505619525909424 reconloss:2.9681036472320557 KLD:0.00496992701664567 actloss:0.28194940090179443vocabvqloss0.25059640407562256
DEBUG:root:loss:3.19321608543396 reconloss:2.646512269973755 KLD:0.005264132283627987 actloss:0.2798449397087097vocabvqloss0.2615947723388672
DEBUG:root:loss:3.168252944946289 reconloss:2.6089727878570557 KLD:0.0052604759112000465 actloss:0.2819965183734894vocabvqloss0.2720232903957367
DEBUG:root:loss:3.4909400939941406 reconloss:2.9776992797851562 KLD:0.005985494703054428 actloss:0.27809417247772217vocabvqloss0.22916102409362793
DEBUG:root:loss:3.0685880184173584 reconloss:2.5039196014404297 KLD:0.0056897844187915325 actloss:0.28168368339538574vocabvqloss0.277294784784317
DEBUG:root:loss:3.435445547103882 reconloss:2.9204540252685547 KLD:0.004840486217290163 actloss:0.28640511631965637vocabvqloss0.22374612092971802
DEBUG:root:loss:3.375734806060791 reconloss:2.867551326751709 KLD:0.005555777810513973 actloss:0.2847226560115814vocabvqloss0.2179049551486969
INFO:root:validation loss in epoch 0 sup:3.381700 unsup:0.000000
INFO:root:time for epoch 0: 113.699046
DEBUG:root:bucket 1 instance 4693
DEBUG:root:loss:3.203620433807373 reconloss:2.685145616531372 KLD:0.005985494703054428 actloss:0.27653583884239197vocabvqloss0.23595349490642548
DEBUG:root:loss:3.137139320373535 reconloss:2.5766053199768066 KLD:0.005841342732310295 actloss:0.27933618426322937vocabvqloss0.2753565311431885
DEBUG:root:loss:3.4212870597839355 reconloss:2.8517117500305176 KLD:0.005254305899143219 actloss:0.2874527871608734vocabvqloss0.2768683433532715
DEBUG:root:loss:3.988417387008667 reconloss:3.458186626434326 KLD:0.005268527194857597 actloss:0.2817200720310211vocabvqloss0.2432420551776886
DEBUG:root:loss:3.2030081748962402 reconloss:2.6748437881469727 KLD:0.005913453176617622 actloss:0.28362417221069336vocabvqloss0.23862677812576294
DEBUG:root:loss:3.377441644668579 reconloss:2.822101354598999 KLD:0.0062271165661513805 actloss:0.28392308950424194vocabvqloss0.2651900351047516
DEBUG:root:loss:3.4250690937042236 reconloss:2.91746187210083 KLD:0.004840486217290163 actloss:0.28346487879753113vocabvqloss0.2193019986152649
DEBUG:root:loss:3.404088258743286 reconloss:2.850670099258423 KLD:0.0052604759112000465 actloss:0.2795024514198303vocabvqloss0.26865527033805847
DEBUG:root:loss:3.695725917816162 reconloss:3.1237640380859375 KLD:0.005315096117556095 actloss:0.2869565784931183vocabvqloss0.2796901762485504
DEBUG:root:loss:3.4838266372680664 reconloss:2.9768474102020264 KLD:0.005480650812387466 actloss:0.2778538763523102vocabvqloss0.22364461421966553
DEBUG:root:loss:3.287156105041504 reconloss:2.7805159091949463 KLD:0.005555777810513973 actloss:0.28286656737327576vocabvqloss0.21821773052215576
DEBUG:root:loss:3.485208034515381 reconloss:2.945858955383301 KLD:0.00496992701664567 actloss:0.28148025274276733vocabvqloss0.2528989315032959
DEBUG:root:loss:3.422285556793213 reconloss:2.8579518795013428 KLD:0.005718506406992674 actloss:0.28481411933898926vocabvqloss0.27380117774009705
DEBUG:root:loss:3.1910030841827393 reconloss:2.6378698348999023 KLD:0.005264132283627987 actloss:0.2811175286769867vocabvqloss0.26675179600715637
DEBUG:root:loss:3.84576416015625 reconloss:3.2992677688598633 KLD:0.005906795617192984 actloss:0.28695008158683777vocabvqloss0.25363942980766296
DEBUG:root:loss:3.463618755340576 reconloss:2.924516439437866 KLD:0.005511551164090633 actloss:0.2790006995201111vocabvqloss0.25458991527557373
DEBUG:root:loss:3.260301113128662 reconloss:2.762709617614746 KLD:0.005342921707779169 actloss:0.27897465229034424vocabvqloss0.21327412128448486
DEBUG:root:loss:4.029210090637207 reconloss:3.492285966873169 KLD:0.005824068561196327 actloss:0.28069615364074707vocabvqloss0.25040388107299805
DEBUG:root:loss:3.072072744369507 reconloss:2.6356360912323 KLD:0.00555212190374732 actloss:0.27756091952323914vocabvqloss0.15332376956939697
DEBUG:root:loss:3.3477351665496826 reconloss:2.784203052520752 KLD:0.005276212468743324 actloss:0.28403016924858093vocabvqloss0.27422574162483215
DEBUG:root:loss:3.1763246059417725 reconloss:2.6055970191955566 KLD:0.00580349238589406 actloss:0.27843332290649414vocabvqloss0.2864905893802643
DEBUG:root:loss:3.0443592071533203 reconloss:2.4826202392578125 KLD:0.005174937192350626 actloss:0.27976560592651367vocabvqloss0.27679842710494995
DEBUG:root:loss:3.169633626937866 reconloss:2.606374502182007 KLD:0.0056897844187915325 actloss:0.2820650637149811vocabvqloss0.27550408244132996
DEBUG:root:loss:3.3181023597717285 reconloss:2.735537052154541 KLD:0.005746258422732353 actloss:0.2851813733577728vocabvqloss0.29163768887519836
DEBUG:root:loss:3.2293384075164795 reconloss:2.691819906234741 KLD:0.005237889476120472 actloss:0.274751752614975vocabvqloss0.25752896070480347
DEBUG:root:loss:3.2703447341918945 reconloss:2.7332074642181396 KLD:0.005047480575740337 actloss:0.2796976566314697vocabvqloss0.25239208340644836
DEBUG:root:loss:3.410753011703491 reconloss:2.9247303009033203 KLD:0.005672657862305641 actloss:0.2853024899959564vocabvqloss0.195047527551651
DEBUG:root:loss:3.260080337524414 reconloss:2.7547526359558105 KLD:0.006110708229243755 actloss:0.2857609987258911vocabvqloss0.21345582604408264
DEBUG:root:loss:2.9264352321624756 reconloss:2.4235081672668457 KLD:0.005556372459977865 actloss:0.2763065993785858vocabvqloss0.22106413543224335
DEBUG:root:loss:3.326948642730713 reconloss:2.770468235015869 KLD:0.005102020222693682 actloss:0.28283536434173584vocabvqloss0.26854297518730164
DEBUG:root:loss:3.176146984100342 reconloss:2.6220264434814453 KLD:0.006336068268865347 actloss:0.27928343415260315vocabvqloss0.26850104331970215
DEBUG:root:loss:3.308972120285034 reconloss:2.743555784225464 KLD:0.006125262938439846 actloss:0.28564661741256714vocabvqloss0.27364444732666016
DEBUG:root:loss:3.2615158557891846 reconloss:2.7088444232940674 KLD:0.006122858729213476 actloss:0.2831030786037445vocabvqloss0.2634456157684326
DEBUG:root:loss:3.3475804328918457 reconloss:2.7797799110412598 KLD:0.005505288951098919 actloss:0.2815522253513336vocabvqloss0.2807427942752838
DEBUG:root:loss:3.5388376712799072 reconloss:3.020317554473877 KLD:0.005338449962437153 actloss:0.28492283821105957vocabvqloss0.22825895249843597
DEBUG:root:loss:3.237459421157837 reconloss:2.730231285095215 KLD:0.005571909248828888 actloss:0.27693507075309753vocabvqloss0.22472114861011505
DEBUG:root:loss:3.0325660705566406 reconloss:2.4576315879821777 KLD:0.005860504228621721 actloss:0.2819918096065521vocabvqloss0.28708213567733765
DEBUG:root:bucket 1 instance 4693
